pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.1695215566 11.64561
33300.0 0.3389194036 11.69081
50000.0 0.5109263991 11.7146
66700.0 0.6892781992 11.71315
83300.0 0.861474508 11.72757
100000.0 1.036302458 11.72896
117000.0 1.2233589176 11.75955
133000.0 1.3873304104 11.76842
150000.0 1.5811046778 11.71591
167000.0 1.7685941211 11.76523
183000.0 1.9506553358 11.81265
200000.0 2.1454005364 11.8211
217000.0 2.332003394 11.83892
233000.0 2.5124994944 11.86789
250000.0 2.7105417441 11.93167
267000.0 2.8983985675 11.90284
283000.0 3.0860679521 11.93604
300000.0 3.2756473384 11.89118
317000.0 3.4521753587 11.97249
333000.0 3.6433892116 11.96491
350000.0 3.8444117388 12.01727
367000.0 4.0214664622 12.00566
383000.0 4.2243858704 12.11407
400000.0 4.4333745481 12.09153
600000.0 7.2003185119 12.45346
857000.0 11.680119785 13.048
1110000.0 17.7446826675 14.00967
1370000.0 27.3924256592 15.56318
1630000.0 40.601170997 18.1589
1880000.0 49.7726375325 20.29579
2140000.0 55.4041735957 21.89383
2400000.0 58.8746711005 23.21866
2650000.0 61.2795057281 23.99621
2910000.0 63.3319197329 24.78544
3170000.0 64.8903255678 25.21527
3420000.0 66.1489867156 25.68241
3680000.0 67.2263513992 25.99038
3930000.0 68.0927724181 26.3184
4190000.0 69.0222872232 26.56751
4450000.0 69.7968519667 27.03606
4700000.0 70.3951173653 27.27401
4960000.0 71.0286756221 27.39174
5220000.0 71.6001672575 27.34227
5470000.0 72.1704180479 27.85722
5730000.0 72.6151541713 27.79572
5990000.0 73.0909357889 27.98624
6240000.0 73.3600004875 28.13955
6500000.0 73.7771512376 28.26415
