pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0592869035 6.49177
33300.0 0.1199233665 6.4672
50000.0 0.182752864 6.52045
66700.0 0.237597467 6.50071
83300.0 0.2984401128 6.46211
100000.0 0.3604261355 6.47897
117000.0 0.426142191 6.53015
133000.0 0.4746701053 6.44545
150000.0 0.5397488688 6.56493
167000.0 0.5991482355 6.47485
183000.0 0.6623900984 6.57739
200000.0 0.7149854354 6.58598
217000.0 0.7866245581 6.55867
233000.0 0.8339528639 6.54867
250000.0 0.8871667491 6.59558
267000.0 0.9596868343 6.63413
283000.0 1.0096580277 6.57578
300000.0 1.0793665303 6.54792
317000.0 1.1313433192 6.50311
333000.0 1.2055690978 6.60989
350000.0 1.2593827873 6.60386
367000.0 1.3155956939 6.54131
383000.0 1.3869911461 6.56851
400000.0 1.4198491738 6.55171
600000.0 2.1230447065 6.53915
857000.0 3.0062752401 6.57906
1110000.0 3.8086634043 6.70551
1370000.0 4.6513509179 6.77156
1630000.0 5.5046474695 6.79632
1880000.0 6.2468302799 6.74026
2140000.0 7.0996207467 6.88021
2400000.0 7.9752037758 6.80789
2650000.0 8.7508444182 6.91999
2910000.0 9.4785382067 6.93922
3170000.0 10.223944965 6.98352
3420000.0 10.945753174 6.95733
3680000.0 11.7334836213 7.1086
3930000.0 12.5640813301 7.03167
4190000.0 13.1703147535 7.10386
4450000.0 13.9342592126 7.25988
4700000.0 14.5869774671 7.17986
4960000.0 15.3009694768 7.2165
5220000.0 15.8543826366 7.22306
5470000.0 16.5799021346 7.34968
5730000.0 17.2440166702 7.3571
5990000.0 17.9197336698 7.38795
6240000.0 18.4414884104 7.3869
6500000.0 19.0596991754 7.45985
6750000.0 19.6517809669 7.48469
7000000.0 20.102196487 7.47136
7250000.0 20.7231813467 7.59199
7500000.0 21.2476726943 7.53256
7750000.0 21.9496123869 7.60142
8000000.0 22.3282575771 7.57338
8500000.0 23.3739975805 7.63344
9000000.0 24.3736088866 7.75674
9500000.0 25.284861526 7.78787
10000000.0 26.1246624816 7.85407
10500000.0 27.0205638804 7.95686
11000000.0 27.9040193406 7.96087
12000000.0 29.434438683 8.02523
13000000.0 30.8531632238 8.15689
14000000.0 32.3163107685 8.15025
15000000.0 33.6004729698 8.29311
