pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0598911838 7.46715
33300.0 0.1169405752 7.41066
50000.0 0.1725608573 7.45002
66700.0 0.2345217857 7.3628
83300.0 0.2909141154 7.37118
100000.0 0.3450395818 7.37881
117000.0 0.4001177878 7.45919
133000.0 0.46653031 7.41939
150000.0 0.5241217775 7.41471
167000.0 0.5770316796 7.41683
183000.0 0.6433127894 7.40427
200000.0 0.6948428617 7.44112
217000.0 0.7486233706 7.37202
233000.0 0.8133111056 7.32654
250000.0 0.8614244565 7.40753
267000.0 0.9246173759 7.38568
283000.0 0.9924261544 7.4849
300000.0 1.0405723584 7.27715
317000.0 1.095880536 7.46325
333000.0 1.1281258443 7.24775
350000.0 1.2060698012 7.36913
367000.0 1.2619036283 7.34668
383000.0 1.3091299457 7.32674
400000.0 1.3936445208 7.4837
600000.0 2.0398812352 7.34293
857000.0 2.8868174789 7.38526
1110000.0 3.5714430294 7.36239
1370000.0 4.3473508916 7.36108
1630000.0 5.2313618478 7.39149
1880000.0 5.8778285339 7.34653
2140000.0 6.6585493738 7.47764
2400000.0 7.454070531 7.48854
2650000.0 8.1932486382 7.33991
2910000.0 8.8635666679 7.49383
3170000.0 9.5977839584 7.38357
3420000.0 10.2933824412 7.43035
3680000.0 10.8580613587 7.47345
3930000.0 11.5467606925 7.40196
4190000.0 12.1569082872 7.41983
4450000.0 12.8710523395 7.50928
4700000.0 13.4821362472 7.47409
4960000.0 14.0464209277 7.37651
5220000.0 14.6805348518 7.34201
5470000.0 15.3081274375 7.33767
5730000.0 15.7992154326 7.28108
5990000.0 16.5212113735 7.461
6240000.0 16.9721364656 7.50267
6500000.0 17.4967017598 7.58003
6750000.0 17.9797900274 7.50233
7000000.0 18.5618975094 7.52941
7250000.0 18.9642657339 7.37501
7500000.0 19.4518055953 7.6703
7750000.0 20.0353750398 7.51215
8000000.0 20.529058429 7.51726
8500000.0 21.2907901828 7.59221
9000000.0 22.3166607832 7.77253
9500000.0 23.1973371506 7.69329
10000000.0 23.9791914222 7.74423
10500000.0 24.739658332 7.68661
11000000.0 25.560032852 7.67813
12000000.0 27.1638550185 7.86167
13000000.0 28.4735598933 7.68961
14000000.0 29.7165072885 7.97933
15000000.0 31.0355095879 7.97243
