pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.1687541474 8.79006
33300.0 0.3405035114 8.80705
50000.0 0.5096573584 8.81667
66700.0 0.6842552139 8.87745
83300.0 0.8529688854 8.88048
100000.0 1.0298435103 8.9069
117000.0 1.2092630574 8.90776
133000.0 1.3874986845 8.9488
150000.0 1.5582057941 8.919
167000.0 1.7487815113 9.03246
183000.0 1.9233945453 9.03108
200000.0 2.0965656253 8.98338
217000.0 2.2964710375 9.06474
233000.0 2.4767152811 9.06388
250000.0 2.6689859266 9.1274
267000.0 2.8597235474 9.09354
283000.0 3.0518727652 9.18444
300000.0 3.2228176707 9.15963
317000.0 3.4495990807 9.14887
333000.0 3.6121806533 9.22164
350000.0 3.8160881201 9.2382
367000.0 4.0073367491 9.29781
383000.0 4.1979681207 9.24
400000.0 4.3944684977 9.35327
600000.0 6.9073641742 9.63714
857000.0 10.2854979934 10.05588
1110000.0 14.1197294359 10.48894
1370000.0 19.1144454164 11.046
1630000.0 24.8329818033 11.6739
1880000.0 31.6535302309 12.23261
2140000.0 39.5079292829 12.67937
2400000.0 48.7638873352 13.01696
2650000.0 59.6852263062 13.36388
2910000.0 74.8933527017 14.08628
3170000.0 100.263753271 15.70171
3420000.0 123.959949176 18.07346
3680000.0 135.574847759 20.16188
3930000.0 141.766542361 21.45195
4190000.0 146.129161385 22.46361
4450000.0 150.062968601 23.24134
4700000.0 152.798507027 23.70438
4960000.0 155.194331221 24.22604
5220000.0 157.297347693 24.55861
5470000.0 158.956510502 24.81992
5730000.0 160.713275885 25.12913
5990000.0 161.986576876 25.44851
6240000.0 163.448414611 25.81436
6500000.0 164.436593241 25.82337
