pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0856571241 4.90138
33300.0 0.169745807 4.92205
50000.0 0.2615755058 4.88545
66700.0 0.3480421479 4.90362
83300.0 0.4322320205 4.92114
100000.0 0.5159665393 4.92764
117000.0 0.6060760124 4.92934
133000.0 0.6912777826 4.97979
150000.0 0.7761253886 4.90475
167000.0 0.8530295992 4.93033
183000.0 0.9490080779 4.93842
200000.0 1.039927069 4.98274
217000.0 1.127607988 4.96218
233000.0 1.2036014909 4.88373
250000.0 1.3068150367 5.01524
267000.0 1.392370971 4.9507
283000.0 1.4399807488 4.96921
300000.0 1.5531108902 4.98292
317000.0 1.6681130419 4.957
333000.0 1.7049967061 4.97695
350000.0 1.8380612284 5.01394
367000.0 1.9037839716 4.98449
383000.0 2.0114498664 4.93468
400000.0 2.0620447418 4.92601
600000.0 3.0965075642 4.99328
857000.0 4.3919893489 4.99835
1110000.0 5.7298696391 5.01327
1370000.0 6.9420216639 5.03536
1630000.0 8.2337594277 5.09309
1880000.0 9.4395364983 5.05284
2140000.0 10.5869776775 5.13548
2400000.0 11.7394783442 5.10336
2650000.0 12.9128240996 5.2612
2910000.0 14.0968453737 5.2475
3170000.0 15.284863643 5.16618
3420000.0 16.4291679399 5.19032
3680000.0 17.7141765853 5.27224
3930000.0 18.7333597554 5.30228
4190000.0 20.0278296425 5.29981
4450000.0 21.165000062 5.28874
4700000.0 22.4598241132 5.38108
4960000.0 23.4779953858 5.39169
5220000.0 24.5597644167 5.38887
5470000.0 25.6526643202 5.40374
5730000.0 26.8141202799 5.45178
5990000.0 28.0119033601 5.39595
6240000.0 28.8454539323 5.48999
6500000.0 30.0323591143 5.43334
6750000.0 31.100821693 5.52201
7000000.0 32.0894455583 5.52755
7250000.0 32.9043266215 5.51676
7500000.0 34.0854639878 5.63175
7750000.0 35.0111984229 5.55996
8000000.0 35.750187173 5.62456
8500000.0 37.9850134143 5.62901
9000000.0 39.8894045244 5.75174
9500000.0 41.5793239576 5.75511
10000000.0 43.4597330967 5.77741
10500000.0 45.041227712 5.83197
11000000.0 47.1060045771 5.87593
12000000.0 50.4396503223 5.97294
13000000.0 53.2879394278 6.04448
14000000.0 56.6577099141 6.16082
15000000.0 59.3946396989 6.15105
