pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.4110422733 17.21934
33300.0 0.8231782346 17.18972
50000.0 1.2465791836 17.13595
66700.0 1.6677013436 17.16097
83300.0 2.0895107315 17.14917
100000.0 2.5004942394 17.03683
117000.0 2.9183957328 17.18965
133000.0 3.3076279062 17.16305
150000.0 3.7175014023 17.26722
167000.0 4.1688926052 17.33877
183000.0 4.5757592751 17.27959
200000.0 5.0489703721 17.41903
217000.0 5.5338790347 17.44566
233000.0 5.9939054765 17.39016
250000.0 6.5097083799 17.51696
267000.0 6.976705043 17.69069
283000.0 7.444199579 17.62087
300000.0 7.9777643038 17.76435
317000.0 8.4927265364 17.87249
333000.0 9.0137889369 17.94482
350000.0 9.5959721793 18.10027
367000.0 10.1530920078 18.21834
383000.0 10.6037453792 18.2403
400000.0 11.2081304904 18.33538
600000.0 18.7407343488 19.87454
857000.0 27.5840107791 22.56687
1110000.0 32.6707639946 24.64396
1370000.0 35.6515783037 26.24328
1630000.0 37.547700491 27.05664
1880000.0 38.9653341281 28.00252
2140000.0 40.0611508537 28.51511
2400000.0 40.8903215197 29.187
2650000.0 41.6166136788 28.94032
2910000.0 42.2743332254 29.40993
3170000.0 42.7924475651 29.6041
3420000.0 43.2838742824 29.89751
3680000.0 43.6686402906 30.08807
3930000.0 44.1167602233 30.11456
4190000.0 44.3740038297 30.37364
4450000.0 44.7354351042 30.55775
4700000.0 45.0262043323 30.56907
4960000.0 45.2893881343 30.58596
5220000.0 45.5669090448 31.47466
5470000.0 45.841395379 30.9167
5730000.0 45.9452157637 31.34792
5990000.0 46.2393705278 30.8007
6240000.0 46.3670773874 31.48669
6500000.0 46.6194140887 31.28412
