pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.062536107 8.61599
33300.0 0.1203709874 8.51666
50000.0 0.1798545619 8.59906
66700.0 0.2378526794 8.62565
83300.0 0.3035066137 8.6367
100000.0 0.3619617948 8.57597
117000.0 0.4298357528 8.63811
133000.0 0.4845201585 8.62994
150000.0 0.5379313154 8.6081
167000.0 0.6002225668 8.72045
183000.0 0.6560169844 8.612
200000.0 0.7288043769 8.6065
217000.0 0.785121153 8.61999
233000.0 0.838303778 8.62397
250000.0 0.8887276972 8.60597
267000.0 0.9512801279 8.59787
283000.0 1.0024549375 8.65922
300000.0 1.072548919 8.69292
317000.0 1.1240502026 8.58716
333000.0 1.1844805519 8.66346
350000.0 1.2427398486 8.65811
367000.0 1.310532188 8.69366
383000.0 1.3536757356 8.67219
400000.0 1.4142693219 8.61925
600000.0 2.0994894113 8.72859
857000.0 2.927688817 8.6968
1110000.0 3.6228663654 8.7026
1370000.0 4.4029271704 8.85955
1630000.0 5.2118482826 8.92203
1880000.0 5.8034682578 8.87655
2140000.0 6.5419689145 8.87958
2400000.0 7.2791963223 8.95428
2650000.0 7.9287327965 8.9515
2910000.0 8.46687632 9.12745
3170000.0 9.0854140818 9.07857
3420000.0 9.633253885 9.10571
3680000.0 10.2159447946 9.15961
3930000.0 10.7752764849 9.19229
4190000.0 11.2557157176 9.212
4450000.0 11.8135782746 9.31478
4700000.0 12.2904099688 9.28711
4960000.0 12.7636504484 9.26136
5220000.0 13.2147723102 9.38513
5470000.0 13.6019379028 9.33125
5730000.0 14.0111568184 9.46833
5990000.0 14.5100418357 9.46767
6240000.0 14.838866513 9.46379
6500000.0 15.2740074693 9.53661
6750000.0 15.5848760731 9.51697
7000000.0 16.003595384 9.58573
7250000.0 16.2994461809 9.58294
7500000.0 16.6918843296 9.74233
7750000.0 16.9999779039 9.68521
8000000.0 17.2364593922 9.73685
8500000.0 17.8607920686 9.75876
9000000.0 18.4759181765 9.78097
9500000.0 18.9720444879 9.9168
10000000.0 19.5595345663 9.93866
10500000.0 20.0138069027 9.97953
11000000.0 20.5094435031 9.91127
12000000.0 21.3464577086 10.01939
13000000.0 22.1784605372 10.15331
14000000.0 22.9048816534 10.11704
15000000.0 23.5650285347 10.31181
