pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.4166008544 16.92102
33300.0 0.8399761969 17.06042
50000.0 1.268548531 17.08934
66700.0 1.7236442225 17.2443
83300.0 2.1384036588 17.24553
100000.0 2.574340157 17.42161
117000.0 3.0023665505 17.40594
133000.0 3.405813557 17.50485
150000.0 3.8558856911 17.61221
167000.0 4.3153685122 17.69967
183000.0 4.7678898379 17.77255
200000.0 5.2668251541 17.77046
217000.0 5.7945354552 17.90823
233000.0 6.2442727861 18.09302
250000.0 6.7151404269 18.05659
267000.0 7.2334038462 18.22541
283000.0 7.756826554 18.19422
300000.0 8.3000011474 18.33173
317000.0 8.8273811696 18.41598
333000.0 9.3071075244 18.47767
350000.0 9.8565212222 18.61487
367000.0 10.4212484001 18.67587
383000.0 10.9051809096 18.75548
400000.0 11.4584207153 18.8094
600000.0 17.8105288133 20.05415
857000.0 24.7590361782 21.90668
1110000.0 29.083788231 23.70933
1370000.0 31.6833864304 25.36941
1630000.0 33.4620937282 26.58222
1880000.0 34.6491040862 27.22773
2140000.0 35.5913219672 27.9881
2400000.0 36.3564997926 28.45272
2650000.0 36.9535958122 28.57016
2910000.0 37.5531214179 29.06103
3170000.0 37.9543741056 29.16555
3420000.0 38.435741298 29.3998
3680000.0 38.7916809249 29.64263
3930000.0 39.0723380728 29.70791
4190000.0 39.3738027923 29.71718
4450000.0 39.7380793226 30.06086
4700000.0 39.8558003802 29.8855
4960000.0 40.1484184508 30.38008
5220000.0 40.3521884768 29.88256
5470000.0 40.4530034766 29.98606
5730000.0 40.6948294759 30.34685
5990000.0 40.9300860919 30.20577
6240000.0 41.0924837823 30.06499
6500000.0 41.2990166895 30.93424
