pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.069931659 9.43855
33300.0 0.1344491568 9.48276
50000.0 0.2043657346 9.44629
66700.0 0.2679331149 9.47415
83300.0 0.3348183657 9.42143
100000.0 0.4080829763 9.38282
117000.0 0.4781805288 9.48827
133000.0 0.5419892088 9.38932
150000.0 0.6097190084 9.48374
167000.0 0.6715822098 9.47325
183000.0 0.7503665503 9.45572
200000.0 0.8019292723 9.52679
217000.0 0.8885407706 9.44934
233000.0 0.9327589342 9.49842
250000.0 0.9857845354 9.44063
267000.0 1.0536349848 9.38761
283000.0 1.1275179258 9.44438
300000.0 1.1905273007 9.4248
317000.0 1.2604740409 9.47181
333000.0 1.3237247155 9.53504
350000.0 1.4030821426 9.4734
367000.0 1.4419615511 9.43502
383000.0 1.5224199079 9.45126
400000.0 1.5597157873 9.48842
600000.0 2.3033108658 9.51419
857000.0 3.1455824257 9.54119
1110000.0 3.9223260456 9.63962
1370000.0 4.8133250566 9.44383
1630000.0 5.6035663764 9.41641
1880000.0 6.2597657327 9.67679
2140000.0 6.9819454659 9.73335
2400000.0 7.6825590416 9.59737
2650000.0 8.2870297823 9.72674
2910000.0 8.9371212408 9.73916
3170000.0 9.4727763334 9.7518
3420000.0 10.0571136333 9.79048
3680000.0 10.6948686464 9.87059
3930000.0 11.1481349849 9.85717
4190000.0 11.5947655825 9.90159
4450000.0 12.1291086082 9.99451
4700000.0 12.592011852 9.97977
4960000.0 13.0314336222 9.95964
5220000.0 13.5364889011 9.98736
5470000.0 13.8532550356 10.04008
5730000.0 14.2454876402 10.07076
5990000.0 14.622985884 10.24977
6240000.0 15.0160479561 10.08249
6500000.0 15.376232949 10.3644
6750000.0 15.6871928104 10.18698
7000000.0 16.0163104714 10.23328
7250000.0 16.2900498595 10.16795
7500000.0 16.6185039465 10.33645
7750000.0 16.8444358386 10.25647
8000000.0 17.265895865 10.25559
8500000.0 17.7093744858 10.37334
9000000.0 18.2922639877 10.37975
9500000.0 18.736828457 10.46253
10000000.0 19.2670241447 10.47101
10500000.0 19.6290188851 10.52716
11000000.0 20.0559383164 10.58365
12000000.0 20.8374174422 10.50169
13000000.0 21.5908907257 10.64612
14000000.0 22.2078939677 10.68336
15000000.0 22.814385593 10.79616
