pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.1633777737 10.21774
33300.0 0.3288376581 10.2144
50000.0 0.4955250741 10.24012
66700.0 0.6633585154 10.26847
83300.0 0.8314685836 10.27096
100000.0 1.0051704652 10.31074
117000.0 1.1789983109 10.27805
133000.0 1.3469033788 10.35568
150000.0 1.5291461134 10.39822
167000.0 1.7004126911 10.3392
183000.0 1.8744628262 10.39865
200000.0 2.04875007 10.38038
217000.0 2.2265815948 10.42599
233000.0 2.4063050495 10.39914
250000.0 2.5626090803 10.40317
267000.0 2.7623385815 10.41927
283000.0 2.94407993 10.51832
300000.0 3.1152254835 10.49138
317000.0 3.3211692086 10.46582
333000.0 3.5145758111 10.56442
350000.0 3.6968210156 10.54835
367000.0 3.8706834396 10.60224
383000.0 4.0366842283 10.6007
400000.0 4.2336746301 10.55173
600000.0 6.5141194179 10.80251
857000.0 10.0317208348 11.18821
1110000.0 14.1440032202 11.55291
1370000.0 19.3329912717 12.06545
1630000.0 26.2105094106 12.75904
1880000.0 35.834146414 14.01678
2140000.0 51.4269727057 15.81802
2400000.0 67.9338036375 17.91415
2650000.0 78.5919780066 19.87038
2910000.0 84.8361491697 21.32802
3170000.0 89.0493114274 22.34495
3420000.0 91.9064045731 23.31548
3680000.0 94.3632582335 23.87993
3930000.0 96.2727686894 24.46869
4190000.0 97.9108835396 24.87747
4450000.0 99.3028523906 25.31585
4700000.0 100.714194998 25.5847
4960000.0 101.726797339 26.06135
5220000.0 102.643111319 26.07679
5470000.0 103.524217127 26.38738
5730000.0 104.565761549 26.7128
5990000.0 105.173550183 26.68076
6240000.0 105.946146652 26.90511
6500000.0 106.535384 26.98592
