pressure(Pa) loading(mol/kg) HoA(kJ/mol)
16700.0 0.0686627276 5.64357
33300.0 0.1365597918 5.64133
50000.0 0.2059387853 5.58113
66700.0 0.2684268072 5.60014
83300.0 0.3413130336 5.60411
100000.0 0.4041221402 5.62579
117000.0 0.4741927008 5.6638
133000.0 0.5455969978 5.66502
150000.0 0.6197675629 5.65394
167000.0 0.6873435423 5.65498
183000.0 0.7450646915 5.62081
200000.0 0.8302509316 5.6453
217000.0 0.884168462 5.6466
233000.0 0.9367522559 5.67648
250000.0 1.0117131834 5.67361
267000.0 1.0974427977 5.67443
283000.0 1.151508521 5.63548
300000.0 1.2098471407 5.64343
317000.0 1.2824369812 5.62613
333000.0 1.3399852385 5.67048
350000.0 1.424158827 5.67938
367000.0 1.4783727432 5.64794
383000.0 1.5692644115 5.59213
400000.0 1.6289120688 5.67598
600000.0 2.419323799 5.64026
857000.0 3.4353592765 5.75747
1110000.0 4.3887338402 5.71783
1370000.0 5.4092398046 5.79503
1630000.0 6.3081534639 5.73364
1880000.0 7.2665912863 5.79516
2140000.0 8.2420959954 5.82285
2400000.0 9.1085554013 5.90324
2650000.0 10.079787214 5.93692
2910000.0 10.9860611225 5.97713
3170000.0 11.8708964527 5.97507
3420000.0 12.9294633032 6.02341
3680000.0 13.8976571607 6.04313
3930000.0 14.7607328279 6.04961
4190000.0 15.4830746023 6.06102
4450000.0 16.4811540355 6.09356
4700000.0 17.2280958375 6.15693
4960000.0 18.1112269489 6.20964
5220000.0 18.9254483445 6.23306
5470000.0 19.6690064078 6.26731
5730000.0 20.5352682231 6.29775
5990000.0 21.3974300339 6.33027
6240000.0 22.0764994706 6.299
6500000.0 22.9721528853 6.34847
6750000.0 23.7534260511 6.3387
7000000.0 24.4947859191 6.37608
7250000.0 25.1514535234 6.40612
7500000.0 25.7696650605 6.49427
7750000.0 26.5642508918 6.43364
8000000.0 27.222326329 6.48129
8500000.0 28.5708573603 6.53625
9000000.0 29.8529979556 6.59006
9500000.0 31.1550458021 6.59703
10000000.0 32.3614104088 6.62776
10500000.0 33.5879786526 6.66235
11000000.0 34.8908662591 6.74546
12000000.0 37.0514945872 6.87517
13000000.0 39.2808350405 6.94092
14000000.0 41.1931167043 7.07666
15000000.0 43.0639784422 7.07369
